production_type,Hour,value_value
BIOMASS,11,346.0
BIOMASS,13,346.0
BIOMASS,14,347.0
BIOMASS,15,346.0
BIOMASS,16,336.0
BIOMASS,17,326.0
BIOMASS,18,319.0
BIOMASS,19,324.0
FOSSIL_GAS,11,2923.0
FOSSIL_GAS,13,3018.0
FOSSIL_GAS,14,2988.0
FOSSIL_GAS,15,2961.0
FOSSIL_GAS,16,2939.0
FOSSIL_GAS,17,3073.0
FOSSIL_GAS,18,3020.0
FOSSIL_GAS,19,3106.0
FOSSIL_HARD_COAL,11,17.0
FOSSIL_HARD_COAL,13,18.0
FOSSIL_HARD_COAL,14,19.0
FOSSIL_HARD_COAL,15,19.0
FOSSIL_HARD_COAL,16,19.0
FOSSIL_HARD_COAL,17,19.0
FOSSIL_HARD_COAL,18,19.0
FOSSIL_HARD_COAL,19,18.0
FOSSIL_OIL,11,134.0
FOSSIL_OIL,13,134.0
FOSSIL_OIL,14,134.0
FOSSIL_OIL,15,134.0
FOSSIL_OIL,16,134.0
FOSSIL_OIL,17,134.0
FOSSIL_OIL,18,134.0
FOSSIL_OIL,19,134.0
HYDRO_PUMPED_STORAGE,11,482.0
HYDRO_PUMPED_STORAGE,13,411.0
HYDRO_PUMPED_STORAGE,14,-155.0
HYDRO_PUMPED_STORAGE,15,-372.0
HYDRO_PUMPED_STORAGE,16,-510.0
HYDRO_PUMPED_STORAGE,17,67.0
HYDRO_PUMPED_STORAGE,18,613.0
HYDRO_PUMPED_STORAGE,19,1094.0
HYDRO_RUN_OF_RIVER_AND_POUNDAGE,11,5256.0
HYDRO_RUN_OF_RIVER_AND_POUNDAGE,13,5095.0
HYDRO_RUN_OF_RIVER_AND_POUNDAGE,14,5046.0
HYDRO_RUN_OF_RIVER_AND_POUNDAGE,15,5021.0
HYDRO_RUN_OF_RIVER_AND_POUNDAGE,16,5068.0
HYDRO_RUN_OF_RIVER_AND_POUNDAGE,17,5430.0
HYDRO_RUN_OF_RIVER_AND_POUNDAGE,18,5817.0
HYDRO_RUN_OF_RIVER_AND_POUNDAGE,19,6322.0
HYDRO_WATER_RESERVOIR,11,2272.0
HYDRO_WATER_RESERVOIR,13,2488.0
HYDRO_WATER_RESERVOIR,14,2023.0
HYDRO_WATER_RESERVOIR,15,2068.0
HYDRO_WATER_RESERVOIR,16,2097.0
HYDRO_WATER_RESERVOIR,17,2584.0
HYDRO_WATER_RESERVOIR,18,2756.0
HYDRO_WATER_RESERVOIR,19,3543.0
NUCLEAR,11,30558.0
NUCLEAR,13,30399.0
NUCLEAR,14,30285.0
NUCLEAR,15,30291.0
NUCLEAR,16,30379.0
NUCLEAR,17,30293.0
NUCLEAR,18,30304.0
NUCLEAR,19,30245.0
SOLAR,11,9494.0
SOLAR,13,10985.0
SOLAR,14,11135.0
SOLAR,15,10858.0
SOLAR,16,10158.0
SOLAR,17,7899.0
SOLAR,18,6014.0
SOLAR,19,3361.0
WASTE,11,106.0
WASTE,13,85.0
WASTE,14,88.0
WASTE,15,95.0
WASTE,16,92.0
WASTE,17,92.0
WASTE,18,93.0
WASTE,19,91.0
WIND_ONSHORE,11,1523.0
WIND_ONSHORE,13,1622.0
WIND_ONSHORE,14,1674.0
WIND_ONSHORE,15,1723.0
WIND_ONSHORE,16,1885.0
WIND_ONSHORE,17,2075.0
WIND_ONSHORE,18,2179.0
WIND_ONSHORE,19,2207.0
